message,sentiment
Bhej Bhai Jake,Neutral
us bhi us 🥲,Neutral
chal koi na kal class  me aake bat karta hu,Neutral
Clg me hai ya chala gya,Neutral
Raj after one hour,Neutral
don't do live server,Neutral
but university is going normal last week was normal,Negative
Tu kala java no ?,Negative
I'll give you in 15 min after ☕,Neutral
Aa badhay⬆️ ass.1 na che,Negative
I don't know specifically but file page is fine,Negative
200 MB ka bana hai bhai,Neutral
zip me pura,Neutral
Bus kar rulaya ga kya pagle,Neutral
tomorrow is nava sal,Neutral
are you done with mad assignment,Neutral
Aaja hod ni sign karava lai gaya hata,Neutral
Number mokal experiment na,Positive
Kala aav va no ?,Negative
Thank u so much praful🥹🥹,Neutral
HoD sir is not in cabin 🥲,Negative
Kala java no cho ?,Negative
not that but yaa good,Positive
cd no 4th chhe,Negative
But for startup it's a good idea,Positive
Linux ka jo course mila tha uska answer assignment ka answer bhej na,Neutral
Iqoo Neo 7,Neutral
fine it's department level so Mail sir according..,Neutral
hallo tere pas ip 2nd prcl he kya,Neutral
abhi char nahi pohch hu,Negative
She was a bit nosy regarding my attendance,Negative
But I think all of them went at 11am,Neutral
** hai vo most imp hai,Neutral
aavu page  halse login maa git parthi upadu chhe,Neutral
deadline of the form is 10 pm,Neutral
this will install flaask,Neutral
A kai series tha ?,Neutral
No I talked to them and they said to me to share our team details if that happens will call you,Negative
Haa fi join kar ke dal,Neutral
Bhai sun na,Neutral
Jitna hai utna hi,Neutral
Dude beee pdf if you have,Neutral
So what you wanna say about,Neutral
Linux ka practical 2 bhejo na,Neutral
Tara calculation jota k khali theory,Neutral
dekhta hu kal karuga ya sir ko mail karunga,Neutral
Find the constant k such that the function,Neutral
will complete it by today don't worry 🙂,Neutral
nahi hua raj se mangkar deta hu,Negative
time hi nahi mila,Negative
and assignment also,Neutral
tss aaj nathi ne,Neutral
what else we can do,Neutral
questions no wise,Negative
I'll give g meet link in 10m,Neutral
exam ke bad karunga,Negative
ye raha neve bar,Neutral
Mile to bhej na,Neutral
mine is divya mam,Neutral
If you don't mind shall we study together on call or Google meet ?,Neutral
nahi gaya thAme apan sarh me hi to the bhi ground floor par,Negative
Etna kar lee ho jayega.,Neutral
Bhai ip me kuchh nhi aata,Neutral
par isme file ka name badal dena,Negative
Ha abhi jo.mila tha,Neutral
roll no : 92200104075  pass : p@212223,Negative
You went to class today?,Neutral
just in 10 mi tnx for reminding 😁,Neutral
5 hi hua hai bhai aapne <This message was edited>,Neutral
"Kai nai , su chala?",Neutral
Ok kuldeep na puchu,Positive
I am not aware of it,Negative
I think everyone who's not selected got the same massag,Negative
Bhai Mera Java ka file de de yar,Neutral
it is working,Neutral
That would be difficult,Neutral
2 din mein ban jayega ?,Neutral
I don't have to study MAD subject this semester,Neutral
"Okey , I'll install 👍",Positive
this wht output look like,Positive
To likho na merko bhi bhejo,Neutral
He is singing like Gian from Doreamon 😆,Neutral
it is gui based bmi calculator,Neutral
to placement me kuchh problem ni hogi na tumhe,Negative
Tu try kari na joi la,Neutral
format kya rhega bro uska jo avg student wala assignment ka,Neutral
.net might have one,Neutral
hamari lab nahi aai,Negative
okay abhi download karke deta hu,Positive
Ma tana h and v lookup mokli didhu,Positive
Stress management ni ppt bas complete Karine pachi try kau,Neutral
How are you ?,Neutral
Bsdk Google classroom instruction padh,Neutral
Mang na jara,Neutral
the backend is in python,Neutral
fine you know you don't have to say that..,Negative
Project dala ml ka,Neutral
how much your attendance was,Neutral
How's the mu fest preparation going on ? In the college,Neutral
wt practical 9 miklje,Neutral
Jane de soja ab nahi hoga environment set karna padega python vala or sari library....,Negative
Got from hack the mountain,Neutral
A chala ?,Neutral
"and, sorry for that day I worked you up  early, my phone was sent default on GMT-01",Negative
We are not celebrating it today because of grahan,Negative
to maharastra  kab jayega,Neutral
Admin panel ma to change hato e practical 8 cha,Neutral
Kala 10 vaga sudhi na j cha,Neutral
How about you?,Neutral
So that is very less time for preparation,Neutral
I'm in the bed and I'm going to enjoy my sleepless night,Neutral
I didn't note them down as she was explaining me topics in speed,Negative
send or else they will take the mobile,Neutral
khhar Jake send karta hu,Neutral
su call karo to,Neutral
how is it going with you,Neutral
"Message","Sentiment"
"Dude beee pdf if you have","Neutral"
"Beee nathi","Negative"
"Ok","Neutral"
"Tara calculation jota k khali theory","Neutral"
"Hoy to mokal","Neutral"
"Kam k calculation badhi na nathi","Negative"
"Kaya ?","Neutral"
"You have to third math assignment","Neutral"
"send or else they will take the mobile","Negative"
"Op","Positive"
"Ande ande","Neutral"
"Thnks bhagat","Positive"
"Bus kar rulaya ga kya pagle","Negative"
"Ha","Neutral"
"Ma tana h and v lookup mokli didhu","Neutral"
"Tu aaja pan gyo hato ?","Neutral"
"Haa","Neutral"
"Reading k cp","Neutral"
"Cp","Neutral"
"Taru email mokal mana","Neutral"
"All Google axel problem","Neutral"
"Number mokal experiment na","Neutral"
"Ketla","Neutral"
"Ava","Neutral"
"27","Neutral"
"Tara","Neutral"
"29","Neutral"
"O ho","Positive"
"Good","Positive"
"Google jindabad","Positive"
"Wha","Positive"
"Kayu laptop tha","Neutral"
"Friend nu chehh","Neutral"
"Kai company tha","Neutral"
"Lenovo","Neutral"
"Sorry my dear student","Negative"
"Pdf nahi hai","Negative"
"Tu kala java no ?","Neutral"
"Nahi","Negative"
"Call me","Neutral"
"There d to too d diagrams","Neutral"
"Send please","Neutral"
"A kai series tha ?","Neutral"
"13 reason why","Neutral"
"Reply nhi pata","Negative"
"Finally itis running with api","Positive"
"Laptop ma chala tha","Neutral"
"To mara compliler ma j problem hai sa","Negative"
"May be","Neutral"
"To ppt nu aaja got su","Neutral"
"Aatala kal lagj na bani jai","Negative"
"Very good","Positive"
"You will add na please","Neutral"
"Send experiment se 9-12","Neutral"
"Jaldi","Neutral"
"Thnx","Positive"
"Katal marks aavya","Neutral"
"19 21","Neutral"
"Tare","Neutral"
"20 , 20","Neutral"
"Reddy","Positive"
"I win 5 time in room","Positive"
"Hamde mu ramu su","Neutral"
"Don't give me stress to play with you","Negative"
"Yaa bro I am pro.. Askraj about it","Positive"
"Ha e a kidhu hatu","Neutral"
"Aacharan ramas","Neutral"
"Normal castom","Neutral"
"Game ne id","Neutral"
"Ok aavu","Neutral"
"Elective ma kayo subject select karyo?","Neutral"
"Mare sniper nathi aavti kardva mate","Negative"
"Hallo","Neutral"
"bol suu Kam chhe","Neutral"
"Kai nathi kam","Neutral"
"adthi kalak maa aavu","Neutral"
"Kala aav va no ?","Neutral"
"naa","Negative"
"Hiii","Neutral"
"Muk","Neutral"
"Fish pond diagram na phota tha","Neutral"
"nahi online karis","Negative"
"haa","Neutral"
"12 na screenshot mokal","Neutral"
"aavu page halse login maa git parthi upadu chhe","Neutral"
"12 practical send kar ne","Neutral"
"Baki cha","Neutral"
"sorry I was forgot to call you","Negative"
"I there any thing inm","Neutral"
"No","Neutral"
"can I call you now","Neutral"
"I call you tomorrow","Neutral"
"Su chala cha ?","Neutral"
"kay nai","Negative"
"life is shit place","Negative"
"Like our study's","Negative"
"any web series you want to suggest just a name","Neutral"
"Chilling adventures of Sabrina","Neutral"
"already done","Neutral"
"Maxton hall","Neutral"
"thanx by","Positive"
"subject choose kariyo","Neutral"
"Stock market","Neutral"
"Ema to jagya noti","Negative"
"data analysis using spread sheet","Neutral"
"shit bank maa hato","Negative"
"sorry halse hal javade n","Negative"
"Biju su chala cha","Neutral"
"hp victos rtx 3050 rayson","Neutral"
"Saru","Positive"
"Good price","Positive"
"hal to joye pujara maa thi lau chhu","Neutral"
"Tu rajkot ma cho?","Neutral"
"Morbi pujara Store","Neutral"
"ok by","Neutral"
"sorry tedi call back no karo mu kame haro","Negative"
"Kai nai e to chala","Neutral"
"course na link hoy to mokal jee","Neutral"
"happy birthday vivek","Positive"
"Thank you","Positive"
"attendance lagavi deje","Neutral"
"la practical hoy to send karje ne 9 to 12","Neutral"
"ip 10 to 12 hoy to send kar ne","Neutral"
"tnx","Positive"
"Subh dipavali","Positive"
"Admin panel ma nai website ma kar va nu hatu","Negative"
"shit bro","Negative"
"format barobar chhene","Neutral"
"bol","Neutral"
"HA","Neutral"
"aa video download nathi thayo","Negative"
"a su chhe badhu","Neutral"
"exam hamda nai thi","Negative"
"call you back","Neutral"
"ip ni file Friday submit kariye to hale","Neutral"
"Aaja hod ni sign karava lai gaya hata","Neutral"
"Kala java no ?","Neutral"
"have su Karu mu","Neutral"
"jois","Neutral"
"Kala java no cho ?","Neutral"
"bol","Neutral"
"Kya poicho","Neutral"
"wt practical 9 miklje","Neutral"
"Baki cha","Neutral"
"Hi","Neutral"
"ml na 4th hoy to mokal ne","Neutral"
"Hamna kari na moklu","Neutral"
"3 ane 5 maa kau output chhe ee mokli deje print karvu chee pan kayu karvu chhe ee khaber nahi","Negative"
"Kala aav va no ?","Neutral"
"into hase to jois nai jav","Neutral"
"squid game jovano chhu mu","Neutral"
"naa kale bank maa javani chhu check leva","Negative"
"sorry","Negative"
"tu gyoto","Neutral"
"tu jais kale","Neutral"
"mu to Mandy Thi vichar Karu chhu javanu","Neutral"
"haa hamda 5 episode jovu su","Neutral"
"me after 1.5 months in tss","Neutral"
"Some people on yesterday section","Neutral"
"pov raj","Neutral"
"Raj after one hour","Neutral"
"Your talk feel like her!!","Neutral"
"us bhi us","Neutral"
"tss aaj nathi ne","Negative"
"Kaala aav va no ?","Neutral"
"aavis","Neutral"
"tss no confirmation aavigyu chhe","Positive"
"cd no 4th chhe","Neutral"
"code chat gpt maa thi levano chhe ne","Neutral"
"ok to generate kar lav by hhal","Neutral"
"Lab ma aav","Neutral"
"lecture ma chhu","Neutral"
"kai","Neutral"
"Kala aav va no ?","Neutral"
"jou","Neutral"
"9 thi gaya","Positive"
"idk how","Neutral"
"college ma chho","Neutral"
"Bapor pachi jais","Neutral"
"mu nathi gayo","Negative"
"kale jois","Neutral"
"wedding maa chhu","Neutral"
"Tara koi mail aaivo a group ma j message Kara cha aavo ?","Neutral"
"naa","Negative"
I really enjoyed the movie,positive
The food was terrible,negative
I'm not sure how I feel about this,neutral
The service was excellent,positive
I had a bad experience,negative
This is a great product,positive
I wouldn't recommend this,negative
The price is a bit high,neutral
The weather is perfect today,positive
The traffic is horrible,negative
I'm feeling neutral about this,neutral
The concert was amazing,positive
The customer service was terrible,negative
This book is a masterpiece,positive
I regret buying this product,negative
The view from here is breathtaking,positive
I don't know what to think about this,neutral
The internet speed is slow,negative
The museum was fascinating,positive
The noise level is too high,negative
I don't have an opinion on this,neutral
The hotel room was spacious and clean,positive
The service at this restaurant was awful,negative
This software is very user-friendly,positive
The quality of the product is poor,negative
I don't really care about this,neutral
The beach was crowded,negative
This is an excellent company to work for,positive
The movie was a waste of time,negative
I'm undecided about this,neutral
The game was a complete disaster,negative
The scenery here is beautiful,positive
The speaker was very engaging,positive
I had a great time,positive
This product is overpriced,negative
I'm indifferent to this,neutral
The performance was outstanding,positive
The car broke down on the highway,negative
I don't have strong feelings about this,neutral
The food was delicious,positive
The service at this hotel was terrible,negative
This phone is amazing,positive
I'm not impressed with this,negative
I have mixed feelings about this,neutral
The weather is terrible today,negative
The book was a disappointment,negative
I don't care one way or the other,neutral
The hike was exhausting,negative
This is a fantastic product,positive
I don't know what to make of this,neutral
The customer service was great,positive
The noise level is tolerable,neutral
The hotel room was dirty and cramped,negative
I'm very pleased with this,positive
The traffic is light,positive
This movie was boring,negative
I have no opinion on this,neutral
The beach was beautiful,positive
The food was average,neutral
I regret wasting my money on this product,negative
The view from here is average,neutral
The museum was boring,negative
I don't really care about this topic,neutral
The hotel was noisy at night,negative
This software is difficult to use,negative
The game was exciting,positive
The speaker was boring,negative
I didn't enjoy this at all,negative
The car is in great condition,positive
I'm not sure what to think about this,neutral
The service at this restaurant was excellent,positive
The scenery here is average,neutral
This company is terrible,negative
The movie was great,positive
I'm not satisfied with this product,negative
I have no strong feelings about this,neutral
The weather is wonderful today,positive
The book was amazing,positive
I don't have a preference,neutral
The hike was refreshing,positive
This is a terrible product,negative
The performance was mediocre,neutral
I'm not sure if I like this,neutral
The food was not very good,negative
The service at this hotel was great,positive
This phone is not very user-friendly,negative
I'm impressed with this,positive
The traffic is moderate,neutral
This movie was entertaining,positive
I have no interest in this,neutral
The beach was peaceful,positive
The food was outstanding,positive
I regret not buying this product,positive
The view from here is stunning,positive
The museum was informative,positive
I don't have strong feelings either way,neutral
The hotel was comfortable,positive
This software is very complicated,negative
The game was challenging,positive
The speaker was inspiring,positive
I enjoyed this very much,positive
The car is not reliable,negative
I'm ambivalent about this,neutral
The service at this restaurant was mediocre,neutral
The scenery here is breathtaking,positive
This company is excellent,positive
The movie was okay,neutral
I'm not happy with this product,negative
I don't really have an opinion on this,neutral
The weather is nice today,positive
The book was okay,neutral
I don't care about this,neutral
The hike was invigorating,positive
This is a terrible company,negative
The performance was below average,negative
I'm not sure if I want to pursue this,neutral
The food was not bad,neutral
The service at this hotel was mediocre,neutral
This phone is just okay,neutral
The traffic is heavy,negative
This movie was disappointing,negative
I'm not interested in this,neutral
The beach was dirty,negative
The food was terrible and overpriced,negative
I regret buying this,negative
The view from here is unremarkable,neutral
The museum was dull,negative
I have no strong opinion on this,neutral
The hotel was noisy during the day,neutral
This software is frustrating to use,negative
The game was boring,negative
The speaker was uninteresting,negative
I did not enjoy this,negative
The car is expensive,negative
I'm unsure about this,neutral
The service at this restaurant was poor,negative
The scenery here is unimpressive,neutral
This company is awful,negative
The movie was terrible,negative
I'm very unhappy with this product,negative
I have no preference,neutral
The weather is awful today,negative
The book was boring,negative
I'm not interested in this topic,neutral
The hike was difficult,negative
This is a useless product,negative
The performance was excellent,positive
I'm on the fence about this,neutral
The food was not good,negative
The service at this hotel was poor,negative
This phone is disappointing,negative
The traffic is unbearable,negative
This movie was not worth watching,negative
I don't care one way or the other,neutral
